date,time,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1
2022-03-26,22:54:00,40.67848,-73.98232,0,0,Failure to Yield Right-of-Way
2022-03-26,21:00:00,40.629475,-74.004166,0,0,Driver Inattention/Distraction
2022-03-26,17:29:00,40.668797,-73.93113,1,0,Driver Inattention/Distraction
2022-03-26,02:10:00,40.754707,-73.99164,1,0,Failure to Yield Right-of-Way
2022-03-25,00:00:00,40.85713,-73.8808,0,0,Driver Inattention/Distraction
2022-03-26,04:00:00,40.857418,-73.89996,0,0,Unsafe Speed
2022-03-26,04:34:00,40.702972,-73.888054,0,0,Unsafe Speed
2022-03-09,11:56:00,40.786366,-73.97598,1,0,Failure to Yield Right-of-Way
2022-03-26,14:41:00,40.624474,-74.00668,0,0,Passing or Lane Usage Improper
2022-03-26,18:00:00,40.76532,-73.771904,0,0,Unspecified
2022-03-26,13:30:00,40.597683,-73.96686,0,0,Driver Inattention/Distraction
2022-03-26,13:20:00,40.609768,-74.06969,1,0,Traffic Control Disregarded
2022-03-25,21:35:00,40.798286,-73.938705,0,0,Following Too Closely
2022-03-23,21:00:00,40.776764,-73.848015,0,0,Unspecified
2022-03-26,12:00:00,40.747498,-73.91309,0,0,Unspecified
2022-03-26,13:28:00,40.701637,-73.942276,1,0,Following Too Closely
2022-03-26,19:12:00,40.69349,-73.826546,0,0,Unsafe Speed
2022-03-26,21:29:00,40.726463,-73.85943,1,0,Unsafe Speed
2022-03-25,13:21:00,40.856434,-73.886826,1,0,Driver Inattention/Distraction
2022-03-22,08:20:00,40.87151,-73.87057,1,0,Turning Improperly
2022-03-26,22:30:00,40.68686,-73.96758,0,0,Passing or Lane Usage Improper
2022-03-26,11:20:00,40.624763,-73.96518,1,0,Alcohol Involvement
2022-03-26,18:17:00,40.678417,-73.729225,0,0,Passing or Lane Usage Improper
2022-03-14,10:30:00,40.692596,-73.79078,0,0,Unspecified
2022-03-26,01:30:00,40.734486,-73.891754,0,0,Driver Inattention/Distraction
2022-03-26,03:23:00,40.88399,-73.82641,1,0,Following Too Closely
2022-03-26,01:45:00,40.683872,-73.95998,0,0,Driver Inattention/Distraction
2022-03-05,14:52:00,40.799484,-73.92929,0,0,Unspecified
2022-03-26,20:27:00,40.70839,-74.00482,0,0,Passing or Lane Usage Improper
2022-03-26,18:19:00,40.766502,-73.99418,0,0,Unspecified
2022-03-26,23:00:00,40.676304,-73.816284,0,0,Alcohol Involvement
2022-03-26,18:00:00,40.66447,-73.89593,0,0,Unsafe Speed
2022-03-23,20:40:00,40.709835,-74.014885,0,0,Unsafe Speed
2022-04-24,11:45:00,40.585342,-73.94157,0,0,Driver Inattention/Distraction
2021-09-11,12:01:00,40.746395,-73.9856,0,0,Passing or Lane Usage Improper
2021-09-10,11:00:00,40.617004,-73.96912,0,0,Unspecified
2021-09-11,20:15:00,40.718662,-74.00615,0,0,Unspecified
2021-09-09,08:15:00,40.680664,-73.97028,0,0,Backing Unsafely
2021-12-10,23:07:00,40.67392,-73.91012,0,0,Unspecified
2021-12-10,21:50:00,40.806835,-73.924355,0,0,Other Vehicular
2021-11-27,05:40:00,40.627735,-73.920105,0,0,Unspecified
2021-12-09,05:15:00,0.0,0.0,1,0,Traffic Control Disregarded
2021-12-08,12:58:00,40.661263,-73.955765,0,0,Unspecified
2021-12-08,17:50:00,40.844883,-73.907295,0,0,Following Too Closely
2021-12-10,04:30:00,40.76104,-73.88162,0,0,Driver Inattention/Distraction
2021-12-10,21:22:00,40.669777,-73.9583,1,0,Failure to Yield Right-of-Way
2021-12-10,08:30:00,40.839443,-73.90436,0,0,Unsafe Lane Changing
2021-12-10,12:15:00,40.75245,-73.94507,0,0,Driver Inattention/Distraction
2021-12-08,14:38:00,40.687748,-73.980125,0,0,Passing Too Closely
2021-12-03,13:40:00,40.87356,-73.81853,0,0,Unspecified
2021-12-10,08:50:00,40.8176,-73.90373,1,0,Other Vehicular
2021-12-09,19:45:00,40.638428,-73.91275,0,0,Unspecified
2021-12-10,16:07:00,40.813885,-73.95211,0,0,Unspecified
2021-12-10,21:20:00,40.77733,-73.95456,0,0,Unsafe Speed
2021-12-10,23:16:00,40.713135,-74.00407,0,0,Failure to Yield Right-of-Way
